,Education,NumSkills,WorkExperience,StartDates,EndDates
3705,Masters,4,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['01-2009', '01-2010', '01-2013', '01-2014', '01-2017']","['01-2010', '01-2013', '01-2014', '01-2017', '01-2018']"
3706,None/Other,0,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Worker', 'Junior', 'Senior', 'Senior']","['09-1997', '12-1998', '12-2001', '04-2006', '10-2007', '01-2009', '07-2010', '12-2013', '04-2015', '04-2016', '05-2017', '09-2015', '10-2017', '07-2018']","['12-1998', '12-2000', '03-2006', '04-2007', '01-2009', '06-2010', '07-2011', '03-2015', '10-2015', '10-2016', '10-2017', '01-2019', '01-2019', '01-2019']"
3707,None/Other,5,"['Worker', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Worker', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['04-1980', '03-1983', '05-1984', '08-1988', '10-1994', '11-2003', '05-2009', '01-2012', '06-2012', '07-2014', '07-2014', '03-2018', '08-1988']","['09-1982', '04-1984', '03-1988', '09-1994', '11-2000', '08-2006', '05-2012', '01-2014', '07-2014', '11-2014', '07-2017', '09-2018', '01-2019']"
3708,Doctorate,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Junior', 'Specialist', 'Specialist']","['01-1999', '05-2001', '10-2001', '01-2002', '06-2002', '11-2012', '01-2014', '10-2003', '04-2017']","['04-2001', '09-2001', '12-2001', '05-2002', '09-2002', '01-2016', '12-2016', '01-2019', '01-2019']"
3709,Masters,10,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['01-2005', '01-2009', '01-2010', '01-2011', '01-2016']","['01-2010', '01-2010', '01-2011', '01-2015', '01-2017']"
3710,Bachelors,14,"['Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['06-2000', '05-2004', '01-2007', '02-2011', '06-2016', '08-1994', '06-2018']","['01-2004', '06-2006', '01-2010', '05-2016', '06-2017', '01-2019', '01-2019']"
3711,None/Other,2,"['Senior', 'Specialist', 'Specialist']","['01-1987', '08-1987', '02-2011']","['01-2011', '02-2011', '01-2019']"
3712,Certificate,2,"['Specialist', 'Senior', 'Senior', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['01-1995', '01-1998', '01-2002', '01-2003', '01-2006', '01-2007', '01-2009', '01-2012', '01-2008', '01-2016', '11-2017']","['01-1998', '01-2002', '01-2003', '01-2004', '01-2007', '01-2009', '01-2011', '01-2014', '01-2016', '01-2017', '12-2017']"
3713,None/Other,0,"['Senior', 'Senior', 'Junior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['01-1980', '01-1988', '01-1991', '01-1992', '01-1995', '01-1996', '01-1998', '01-1998', '01-2016']","['01-1988', '01-1991', '01-1992', '01-1995', '01-1996', '01-1998', '01-2001', '01-2014', '01-2018']"
3714,Associates,2,"['Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['05-1981', '04-1995', '09-1998', '05-2002', '06-2006', '07-2007', '09-2007', '10-2008', '03-2013']","['06-1993', '08-1998', '09-2002', '06-2006', '09-2006', '09-2007', '10-2008', '03-2013', '09-2018']"
3715,Masters,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Worker']","['03-1988', '10-2010', '10-2011', '08-2014', '06-2018']","['10-2010', '09-2011', '07-2014', '03-2018', '01-2019']"
3716,Masters,0,"['Worker', 'Senior', 'Senior', 'Senior', 'Specialist']","['09-2012', '09-2013', '09-2014', '09-2015', '09-2016']","['09-2013', '09-2014', '09-2015', '09-2016', '01-2019']"
3717,Associates,0,"['Worker', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Senior']","['10-2001', '01-2003', '03-2005', '03-2006', '11-2014', '07-2016']","['05-2003', '03-2005', '03-2006', '03-2008', '07-2016', '01-2019']"
3718,Certificate,1,"['Senior', 'Junior', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['02-1990', '02-1994', '02-1998', '03-2001', '06-2004', '06-2008', '04-2009', '07-2012', '01-2013', '03-2010', '12-2014']","['02-1994', '02-1998', '03-2001', '06-2004', '06-2008', '04-2009', '03-2010', '01-2013', '12-2014', '01-2019', '01-2019']"
3719,None/Other,1,"['Senior', 'Worker', 'Specialist', 'Senior']","['08-1988', '04-2011', '07-2008', '08-2014']","['12-2009', '10-2011', '04-2017', '01-2019']"
3720,None/Other,17,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['05-2002', '06-2005', '07-2008', '08-2011', '06-2014', '07-2017', '09-2018']","['05-2005', '07-2008', '07-2011', '06-2014', '06-2017', '07-2018', '01-2019']"
3721,Certificate,8,"['Senior', 'Worker', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['04-2004', '10-2008', '02-2007', '03-2013', '03-2010', '10-2016', '05-2016', '06-2015', '01-2016', '10-2017']","['01-2007', '05-2010', '12-2010', '07-2015', '04-2016', '03-2017', '05-2017', '12-2017', '02-2018', '04-2018']"
3722,Masters,2,"['Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['09-1982', '07-1986', '05-1994', '10-2006', '02-2011', '03-2012', '06-2017']","['07-1986', '05-1994', '10-2005', '02-2011', '03-2012', '01-2016', '01-2019']"
3723,Bachelors,0,"['Junior', 'Junior', 'Senior', 'Specialist']","['09-2003', '10-2005', '09-2007', '06-2015']","['10-2005', '12-2006', '05-2015', '01-2019']"
3724,Bachelors,5,"['Specialist', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-1995', '01-1996', '01-1997', '01-1998', '01-2001', '01-2003', '03-2004', '10-2005', '01-2012', '01-2014']","['01-1996', '01-1997', '01-1998', '01-2001', '01-2003', '01-2004', '10-2005', '10-2011', '01-2014', '01-2019']"
3725,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior']","['02-2007', '02-2007', '06-2010', '06-2013', '10-2015']","['06-2010', '06-2010', '06-2013', '10-2015', '03-2016']"
3726,Bachelors,0,"['Junior', 'Junior', 'Senior', 'Specialist']","['09-2003', '10-2005', '09-2007', '06-2015']","['10-2005', '12-2006', '05-2015', '01-2019']"
3727,Masters,1,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['07-2001', '10-2001', '05-2002', '09-2003', '10-2005', '03-2007', '03-2008', '03-2009', '01-2010', '10-2011', '11-2017']","['10-2001', '04-2002', '08-2003', '03-2004', '02-2007', '02-2008', '02-2009', '12-2009', '09-2011', '09-2014', '01-2019']"
3728,Bachelors,9,"['Worker', 'Senior', 'Senior', 'Senior', 'Specialist']","['04-2006', '06-2015', '01-2016', '02-2017', '05-2018']","['04-2015', '01-2016', '06-2016', '01-2019', '01-2019']"
3729,Certificate,8,"['Senior', 'Worker', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['04-2004', '10-2008', '02-2007', '03-2013', '03-2010', '10-2016', '05-2016', '06-2015', '01-2016', '10-2017']","['01-2007', '05-2010', '12-2010', '07-2015', '04-2016', '03-2017', '05-2017', '12-2017', '02-2018', '04-2018']"
3730,Masters,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['06-2004', '01-2010', '01-2011', '05-2011', '01-2013', '11-2013', '08-2017', '08-2018']","['12-2009', '01-2011', '05-2011', '11-2012', '11-2013', '05-2017', '08-2018', '01-2019']"
3731,Bachelors,5,"['Specialist', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-1995', '01-1996', '01-1997', '01-1998', '01-2001', '01-2003', '03-2004', '10-2005', '01-2012', '01-2014']","['01-1996', '01-1997', '01-1998', '01-2001', '01-2003', '01-2004', '10-2005', '10-2011', '01-2014', '01-2019']"
3732,Masters,5,"['Worker', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['11-2000', '10-2006', '01-2006', '10-2007', '03-1999', '03-1999', '07-2012', '10-2013', '12-2016', '10-2015']","['04-2004', '03-2007', '10-2007', '12-2008', '06-2011', '06-2011', '10-2013', '10-2015', '07-2017', '01-2019']"
3733,None/Other,1,['Specialist'],['03-2018'],['01-2019']
3734,Associates,9,"['Junior', 'Specialist', 'Senior', 'Worker', 'Specialist']","['08-2005', '03-2015', '04-2016', '05-2016', '10-2016']","['12-2009', '05-2015', '05-2016', '10-2016', '01-2019']"
3735,None/Other,0,"['Senior', 'Senior', 'Senior', 'Specialist']","['02-2001', '09-1993', '10-2001', '12-2015']","['04-2001', '10-2001', '03-2011', '01-2019']"
3736,Associates,2,"['Junior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Senior']","['05-1975', '01-1998', '01-2000', '01-2000', '01-2011', '01-2012', '07-2014', '05-2017', '05-2018']","['06-1995', '01-1999', '01-2000', '01-2011', '01-2012', '01-2014', '04-2016', '01-2019', '01-2019']"
3737,None/Other,1,"['Senior', 'Senior', 'Worker', 'Specialist', 'Junior', 'Senior', 'Senior']","['01-1999', '01-2004', '08-1995', '01-2003', '01-2003', '01-2006', '04-2006']","['01-1999', '01-2004', '01-2006', '01-2006', '01-2006', '01-2012', '12-2017']"
3738,None/Other,5,"['Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior']","['10-1995', '09-1999', '09-2003', '04-2008', '09-2009', '03-2010', '09-2011', '03-1987', '04-2013', '08-2014', '04-2016']","['09-1999', '09-2003', '01-2007', '09-2009', '03-2010', '09-2011', '04-2013', '03-2018', '01-2019', '01-2019', '01-2019']"
3739,None/Other,6,"['Specialist', 'Senior', 'Junior', 'Senior']","['06-2007', '10-2012', '05-2011', '11-2014']","['06-2010', '12-2012', '11-2015', '11-2017']"
3740,None/Other,0,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Worker', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Junior', 'Junior', 'Senior']","['05-1979', '02-1980', '04-1981', '02-1983', '02-1983', '09-1984', '08-1985', '12-1989', '04-1995', '07-1999', '05-2005', '01-2006', '12-2014']","['08-1979', '12-1980', '08-1981', '09-1984', '09-1984', '05-1985', '01-1989', '07-1990', '07-1999', '06-2005', '01-2006', '12-2014', '01-2019']"
3741,Masters,0,"['Worker', 'Specialist', 'Senior', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Junior', 'Worker', 'Senior']","['01-1979', '03-1981', '02-1986', '07-1989', '07-1992', '07-1996', '03-1999', '07-2000', '01-2002', '04-2005', '01-2008', '05-1971']","['03-1981', '02-1986', '07-1989', '06-1992', '07-1996', '03-1999', '07-2000', '01-2002', '04-2005', '01-2008', '10-2010', '09-2018']"
3742,Associates,0,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Junior', 'Worker', 'Worker', 'Senior']","['07-1989', '09-1990', '04-1994', '09-1996', '07-1998', '05-2000', '03-2002', '01-2006', '06-2007', '12-2010', '04-2011', '11-2012', '11-2014', '10-2016', '01-2018']","['07-1990', '04-1994', '09-1996', '07-1998', '05-2000', '03-2002', '01-2006', '06-2007', '12-2010', '11-2012', '11-2012', '11-2014', '09-2016', '01-2019', '01-2019']"
3743,Associates,10,"['Worker', 'Worker', 'Specialist', 'Junior', 'Specialist', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Worker', 'Senior', 'Senior', 'Specialist', 'Senior', 'Junior', 'Worker', 'Specialist']","['11-1992', '02-1995', '09-1995', '04-1996', '09-1996', '03-1998', '02-2002', '07-2003', '06-2002', '12-2003', '09-2004', '01-2006', '08-2006', '02-2007', '01-2012', '06-2012', '01-2015', '05-2015', '07-2017', '01-2018', '03-2018']","['02-1995', '09-1995', '04-1996', '09-1996', '03-1998', '02-2002', '11-2002', '09-2003', '12-2003', '09-2004', '01-2006', '08-2006', '02-2007', '12-2011', '06-2012', '03-2015', '07-2016', '06-2017', '01-2018', '03-2018', '01-2019']"
3744,Masters,0,"['Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['02-1994', '10-1996', '10-1999', '01-2004', '06-2006', '05-2008', '03-2006', '03-2009', '10-2013', '04-2015']","['11-1998', '10-2003', '10-2003', '03-2006', '11-2006', '01-2009', '02-2009', '08-2013', '03-2015', '09-2018']"
3745,None/Other,0,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Worker', 'Junior', 'Senior', 'Senior']","['09-1997', '12-1998', '12-2001', '04-2006', '10-2007', '01-2009', '07-2010', '12-2013', '04-2015', '04-2016', '05-2017', '09-2015', '10-2017', '07-2018']","['12-1998', '12-2000', '03-2006', '04-2007', '01-2009', '06-2010', '07-2011', '03-2015', '10-2015', '10-2016', '10-2017', '01-2019', '01-2019', '01-2019']"
3746,Masters,1,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist']","['03-2002', '04-2006', '09-2009', '08-2011', '08-2015']","['04-2006', '09-2009', '08-2011', '08-2015', '01-2019']"
3747,Masters,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Junior']","['01-2009', '04-2013', '05-2011', '01-2017', '09-2017', '06-2018']","['01-2010', '01-2017', '06-2017', '08-2017', '06-2018', '01-2019']"
3748,Bachelors,0,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['01-2004', '01-2004', '01-2004', '01-2008', '01-2010', '01-2004', '01-2009', '01-2006', '01-2017']","['01-2005', '01-2007', '01-2008', '01-2008', '01-2011', '01-2013', '01-2013', '01-2015', '01-2018']"
3749,Bachelors,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['07-1999', '07-2003', '07-2006', '07-2009', '07-2012', '01-1994']","['07-2003', '07-2006', '07-2009', '07-2012', '07-2012', '01-2019']"
3750,Bachelors,0,"['Worker', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist']","['08-1996', '09-1997', '12-2000', '10-2001', '04-2002', '02-2004', '03-2008', '05-2012', '05-2013']","['06-1997', '09-2000', '10-2001', '04-2002', '02-2004', '03-2008', '05-2012', '05-2013', '09-2018']"
3751,Masters,4,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['09-2008', '07-2011', '02-2012', '06-2013', '09-2015', '01-2017']","['06-2011', '01-2012', '05-2013', '12-2015', '10-2016', '01-2019']"
3752,Masters,0,"['Junior', 'Senior', 'Senior', 'Senior', 'Junior']","['09-2000', '08-2006', '10-2010', '06-2017', '06-2018']","['07-2006', '09-2010', '05-2017', '05-2018', '01-2019']"
3753,Masters,5,"['Senior', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist']","['04-2001', '03-2008', '09-2008', '05-2011', '10-2014', '01-2016', '04-2018']","['08-2008', '08-2008', '04-2011', '10-2011', '03-2015', '10-2016', '01-2019']"
3754,Certificate,38,"['Worker', 'Worker', 'Specialist', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Worker', 'Senior', 'Worker']","['06-2012', '01-2013', '01-2014', '05-2016', '04-2016', '08-2017', '12-2017', '10-2016', '11-2017', '03-2018', '05-2018', '02-2018']","['09-2012', '01-2015', '06-2015', '08-2016', '01-2017', '12-2017', '03-2018', '05-2018', '06-2018', '11-2018', '11-2018', '01-2019']"
3755,Bachelors,7,"['Specialist', 'Senior', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Junior', 'Senior']","['12-2007', '07-2010', '11-2011', '06-2013', '06-2005', '02-2013', '08-2014', '01-2015', '03-2017', '08-2016', '08-2018']","['02-2009', '06-2011', '04-2012', '02-2014', '10-2015', '10-2015', '10-2015', '04-2016', '05-2018', '01-2019', '01-2019']"
3756,None/Other,2,"['Specialist', 'Worker', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Worker', 'Senior', 'Senior', 'Specialist', 'Junior']","['08-1991', '08-1992', '12-1992', '11-1996', '08-2003', '04-2004', '04-2004', '11-2004', '04-2008', '04-2009', '04-2006', '04-2011', '03-2012', '01-2013', '12-2014']","['07-1992', '08-1992', '12-1994', '05-1997', '12-2003', '03-2006', '03-2006', '07-2006', '03-2009', '12-2010', '03-2011', '02-2012', '12-2012', '01-2014', '09-2018']"
3757,Masters,3,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Junior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Junior']","['01-1997', '01-2004', '01-2005', '01-2007', '06-2008', '03-2010', '06-2009', '07-2013', '08-2015', '08-2016']","['01-2001', '01-2005', '01-2007', '01-2008', '06-2009', '08-2010', '06-2013', '06-2015', '08-2015', '09-2017']"
3758,Masters,3,"['Senior', 'Senior']","['03-2003', '09-2008']","['08-2008', '03-2011']"
3759,Masters,3,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['02-1995', '09-2002', '06-2012', '05-2015', '08-2017']","['07-2001', '07-2007', '05-2015', '05-2017', '08-2018']"
3760,None/Other,40,"['Senior', 'Junior', 'Specialist', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['06-2009', '06-2010', '06-2011', '05-2015', '08-2015', '10-2017', '12-2017', '02-2018', '08-2018']","['06-2010', '06-2011', '06-2014', '08-2015', '10-2016', '12-2017', '02-2018', '06-2018', '10-2018']"
3761,Bachelors,2,"['Specialist', 'Worker', 'Specialist']","['08-2008', '10-2012', '01-2015']","['01-2015', '01-2019', '01-2019']"
3762,Masters,6,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Worker']","['07-1978', '10-2001', '09-2002', '09-2016', '01-2018', '08-2018']","['06-2001', '10-2002', '09-2016', '01-2019', '01-2019', '01-2019']"
3763,Bachelors,2,"['Specialist', 'Worker', 'Specialist']","['08-2008', '10-2012', '01-2015']","['01-2015', '01-2019', '01-2019']"
3764,Doctorate,5,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-2005', '01-2008', '01-2011', '01-2013', '01-2009', '01-2012', '01-2017']","['01-2008', '01-2011', '01-2013', '01-2014', '01-2015', '01-2015', '01-2019']"
3765,Masters,6,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Worker']","['07-1978', '10-2001', '09-2002', '09-2016', '01-2018', '08-2018']","['06-2001', '10-2002', '09-2016', '01-2019', '01-2019', '01-2019']"
3766,Bachelors,7,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist']","['08-2002', '10-2006', '08-2008', '06-2010', '01-2014', '03-2016', '08-2016', '07-2018']","['08-2006', '08-2008', '10-2009', '01-2014', '03-2016', '08-2016', '06-2018', '01-2019']"
3767,Certificate,4,"['Worker', 'Specialist', 'Worker', 'Worker']","['01-2010', '02-2013', '02-2014', '10-2015']","['01-2013', '01-2014', '10-2014', '10-2016']"
3768,Masters,11,"['Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Senior', 'Senior']","['07-1984', '08-1988', '01-1989', '01-1991', '01-1994', '01-1996', '03-1984', '01-2005', '01-2007', '01-2007', '01-2007', '11-2011', '06-2012', '02-2014', '04-2009', '01-2008', '08-2017']","['08-1988', '09-1989', '01-1991', '01-1994', '01-1996', '01-1998', '01-1998', '01-2006', '01-2007', '01-2007', '01-2008', '06-2012', '02-2014', '05-2016', '08-2016', '01-2019', '01-2019']"
3769,Bachelors,0,"['Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist']","['09-1986', '10-1988', '08-1995', '08-1995', '09-1996', '10-2000', '03-2002', '12-2002', '01-2009', '01-2011', '01-2012', '01-2013', '04-2005', '07-2015', '07-2016', '07-2017']","['08-1995', '08-1995', '09-1996', '10-1999', '10-2000', '03-2002', '12-2002', '04-2005', '01-2009', '01-2011', '01-2012', '01-2013', '03-2015', '10-2015', '06-2017', '01-2019']"
3770,Masters,1,"['Senior', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Junior', 'Specialist', 'Senior', 'Senior']","['01-1997', '01-2001', '03-2004', '05-2005', '02-2006', '06-2006', '02-2012', '06-2015', '01-2018']","['01-2000', '01-2004', '05-2005', '02-2006', '05-2006', '12-2011', '06-2015', '08-2017', '01-2019']"
3771,Masters,4,"['Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['04-1995', '08-2006', '07-2012', '08-2006', '03-2015', '02-2018', '09-2016', '07-2018']","['07-2006', '06-2009', '04-2013', '02-2015', '03-2016', '07-2018', '01-2019', '01-2019']"
3772,Certificate,0,"['Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Junior', 'Senior']","['10-1995', '02-1999', '02-2003', '10-2005', '10-2009', '11-2011', '09-2012', '08-2013', '03-2016']","['01-1997', '01-2003', '09-2005', '09-2009', '10-2011', '09-2012', '07-2013', '01-2019', '01-2019']"
3773,Masters,0,"['Senior', 'Senior', 'Specialist', 'Senior', 'Specialist']","['02-2010', '03-2011', '03-2014', '05-2017', '02-2018']","['03-2011', '08-2013', '01-2017', '02-2018', '01-2019']"
3774,Masters,5,"['Junior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['01-1997', '01-1999', '01-2000', '01-2003', '01-2004', '01-2008', '01-2010', '01-2011', '01-2014', '01-2011', '01-2015']","['01-1999', '01-2000', '01-2003', '01-2004', '01-2008', '01-2011', '01-2014', '01-2014', '01-2015', '01-2017', '01-2019']"
3775,Masters,0,"['Junior', 'Senior', 'Junior', 'Specialist', 'Junior', 'Senior']","['06-2003', '10-2002', '11-2003', '01-2007', '05-2011', '06-2013']","['09-2003', '11-2003', '01-2007', '05-2011', '06-2013', '01-2019']"
3776,Masters,0,"['Junior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Worker', 'Senior']","['01-2002', '03-2001', '04-2009', '07-2012', '10-2011', '01-2015', '01-2016', '07-2017', '04-2018']","['01-2002', '03-2009', '07-2012', '04-2013', '11-2015', '01-2019', '01-2019', '01-2019', '01-2019']"
3777,Bachelors,10,"['Senior', 'Junior']","['08-1996', '06-2017']","['12-2016', '01-2019']"
3778,Bachelors,5,"['Worker', 'Specialist', 'Junior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['10-2007', '09-2013', '02-2014', '09-2014', '11-2015', '05-2016', '05-2016', '10-2017']","['09-2011', '02-2014', '09-2014', '11-2015', '04-2016', '10-2017', '10-2017', '01-2019']"
3779,None/Other,5,"['Junior', 'Specialist', 'Worker', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Junior']","['09-2003', '09-2004', '11-2009', '08-2011', '11-2015', '01-2016', '02-2017', '07-2017', '07-2018']","['05-2004', '09-2006', '05-2010', '08-2015', '12-2015', '06-2016', '05-2017', '07-2018', '10-2018']"
3780,Masters,0,"['Senior', 'Junior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Junior', 'Worker']","['06-2007', '04-2010', '01-2000', '06-2005', '05-2017', '12-2017', '12-2017', '09-2018']","['10-2009', '10-2013', '01-2014', '05-2014', '08-2017', '04-2018', '04-2018', '01-2019']"
3781,Certificate,9,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist']","['01-1977', '01-1992', '01-1993', '10-2003', '01-2011', '02-2012', '05-2012', '09-2012', '10-2013', '03-2014', '09-2014', '09-2015', '12-2016', '10-2017']","['01-1977', '01-1992', '01-2003', '05-2011', '02-2012', '05-2012', '08-2012', '03-2013', '02-2014', '08-2014', '09-2015', '01-2016', '12-2017', '01-2018']"
3782,Masters,0,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist']","['09-1990', '04-2013', '06-2015', '08-2016', '12-2017']","['04-2012', '01-2015', '08-2016', '12-2017', '01-2019']"
3783,Masters,5,"['Senior', 'Worker', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior']","['04-1996', '07-2003', '03-2007', '10-2007', '10-2010', '06-2012', '05-2015']","['07-2003', '10-2007', '05-2009', '05-2009', '06-2012', '12-2014', '01-2019']"
3784,None/Other,3,"['Senior', 'Specialist']","['01-2006', '04-2017']","['01-2017', '01-2019']"
3785,Masters,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1987', '01-2001', '08-2001', '08-2007', '01-2009', '12-2011', '10-2013', '01-2016', '06-2016', '03-2017']","['01-1999', '01-2007', '02-2007', '06-2008', '11-2011', '03-2013', '09-2014', '04-2016', '08-2016', '06-2018']"
3786,Bachelors,0,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Specialist']","['08-1998', '06-2009', '01-2010', '12-2012', '02-2013', '05-2015', '01-2016', '01-2018']","['12-2001', '11-2010', '12-2012', '02-2013', '05-2015', '10-2016', '02-2017', '06-2018']"
3787,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['12-2008', '01-2013', '02-2003', '04-2015', '01-2018']","['12-2012', '03-2015', '12-2017', '12-2017', '01-2019']"
3788,None/Other,0,"['Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['01-1986', '01-1990', '01-1993', '01-2008', '08-2009', '08-2013']","['01-1990', '01-1993', '01-1997', '08-2009', '08-2013', '03-2018']"
3789,Bachelors,0,"['Worker', 'Worker', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist']","['03-1995', '05-1999', '08-2007', '10-2010', '04-2011', '04-2013', '08-2016']","['05-1999', '08-2007', '07-2010', '05-2011', '04-2013', '08-2016', '01-2019']"
3790,Certificate,1,"['Worker', 'Senior', 'Senior', 'Worker']","['07-2003', '06-2016', '12-2011', '11-2017']","['07-2011', '10-2016', '10-2017', '02-2018']"
3791,Bachelors,0,"['Junior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Junior', 'Junior']","['03-1995', '11-1997', '06-2001', '02-2006', '03-2009', '04-2010', '11-2013', '01-2015', '11-2015', '08-2015', '08-2015']","['10-1997', '01-2001', '01-2006', '02-2009', '02-2010', '07-2013', '03-2015', '04-2015', '05-2016', '01-2019', '01-2019']"
